Aberdeen,57401
Altavista,24517
Anchorage,99501
Ashland,3217
Atlanta,30301
Austin,78701
Baltimore,21201
Beaver,25813
Bellevue,98004
Biloxi,39530
Boston,2101
Camden,29020
Chicago,60601
Cleveland,44101
Coldwater,49036
Davenport,52801
Denver,80201
Dover,19901
Duluth,55801
Freeport,4032
Hartford,6101
Hastings,68901
Hazard,41701
Honolulu,96801
Huntsville,35801
Indianapolis,46201
Killington,5751
Laurel,59044
Little Rock,72201
Livingston,7039
Logan,84321
Los Angeles,94203
Milwaukee,53201
Montpelier,83254
Nashville,37201
New Orleans,70112
New York,10001
Newport,2840
Oxford,27565
Pensacola,32501
Phoenix,85001
Pinedale,82941
Pittsburgh,15201
Portland,97201
Reno,89501
Santa Fe,87500
St. Louis,63101
Tulsa,74101
Walhalla,58282
Washington,20001
Wichita,67201